(3.271275043487549, 161.84909057617188)	,2.6734471321105957,48.617462158203125,0.020416393876075745,12059391,-1
(3.4871318340301514, 147.21426391601562)	,2.7738113403320312,29.57061767578125,0.013625221326947212,14746367,-1
(4.983028888702393, 167.1464385986328)	,6.313476085662842,247.3511962890625,0.023081107065081596,7340800,-1
(5.003347396850586, 118.55894470214844)	,4.018917083740234,163.9686279296875,0.034308962523937225,8126720,-1
(5.72667121887207, 346.8897399902344)	,4.686244487762451,185.68240356445312,0.022311557084321976,2556416,-1
(5.81823205947876, 201.45980834960938)	,5.434672832489014,48.82733154296875,0.03197179362177849,13238784,-1
(5.81823205947876, 201.45980834960938)	,5.434672832489014,236.76773071289062,0.03197179362177849,13238784,-1
(5.89166784286499, 298.6756896972656)	,2.9153101444244385,87.13873291015625,0.022283239290118217,1639423,-1
(5.905452728271484, 322.2818298339844)	,3.107828378677368,257.84893798828125,0.026437394320964813,6226943,-1
(6.705853462219238, 304.84130859375)	,5.895057201385498,183.2774200439453,0.05309414863586426,2425600,-1
(7.161157608032227, 80.73216247558594)	,5.088266849517822,170.373046875,0.03413949906826019,8454656,-1
(7.802812576293945, 227.43402099609375)	,5.981719017028809,35.7503662109375,0.044193413108587265,3474176,-1
(7.844881534576416, 242.47073364257812)	,5.24844217300415,327.5616760253906,0.042052071541547775,10748416,-1
(8.613486289978027, 55.440860748291016)	,6.233957767486572,247.74017333984375,0.02782905288040638,6423296,-1
(8.626873970031738, 46.90021514892578)	,5.041957378387451,247.1651153564453,0.029910720884799957,7799296,-1
(9.434835433959961, 132.05604553222656)	,4.870786190032959,240.67886352539062,0.023396091535687447,5308928,-1
(9.474603652954102, 121.22494506835938)	,7.072369575500488,344.19647216796875,0.03737367317080498,15598336,-1
(10.445051193237305, 112.58291625976562)	,3.9001011848449707,29.726898193359375,0.021702269092202187,5964032,-1
(10.451333045959473, 24.47088623046875)	,8.021888732910156,186.39662170410156,0.041009195148944855,7995649,-1
(11.702253341674805, 168.5572967529297)	,3.1864328384399414,231.56044006347656,0.013595682568848133,8061951,-1
(12.307010650634766, 39.96742630004883)	,4.066755294799805,185.96514892578125,0.03131255879998207,8978688,-1
(12.34848403930664, 271.4919738769531)	,10.958882331848145,262.61376953125,0.08640170842409134,13828609,-1
(12.34848403930664, 271.4919738769531)	,10.958882331848145,297.7451477050781,0.08640170842409134,13828609,-1
(12.638250350952148, 95.20370483398438)	,5.087213516235352,221.68450927734375,0.03391847386956215,8454656,-1
(12.650528907775879, 212.55075073242188)	,12.510205268859863,68.010009765625,0.03296421095728874,6685441,-1
(12.650528907775879, 212.55075073242188)	,12.510205268859863,306.68505859375,0.03296421095728874,6685441,-1
